empresa,year,ventas,activos,precio_accion,numacciones,retorno_accion,utilidad,deuda
SPRY,2023,30,233188,5.48,95997.25199999991,-.44248414,-67520,274
SPXC,2023,1741200,2439700,101.01,45648.119,.43088198,221900,558300
SRDX,2023,132584,185733,32.09,14134,.054101944,5150,29405
SRI,2023,975818,679900,19.57,27547.977,-.096841812,12836,199143
SRM,2023,5760.533,4543.074,1.55,9765.5,,-2036.932,0
SRPT,2023,1243336,3264576,96.43000000000001,93546.681,-.2954812,-267824,1396808
SSD,2023,2213803,2704724,197.98,42672.921,.81252003,475149,536615
SSKN,2023,33358,42016,.5501,35048.833,-.36205947,-8604,15633
SSYS,2023,627598,1133905,14.28,69656.07399999991,.1856885,-87580,18660
STAA,2023,322415,488692,31.21,48817.473,-.44164968,28097,35834
STIM,2023,71348,115831,2.9,28933.132,-.86245334,-30554,62474
STLD,2023,18795316,14908420,118.1,161816.47,.20498848,3151181,3071056
STOK,2023,8780,228342,5.26,44653.782,-.5623281,-114773,0
STRO,2023,153731,470736,4.29,60953.204,-.63310516,-89278,33635
STRT,2023,492946,340930,18.14,4015.985,-.60292315,-6089,13000
STTK,2023,1657,159564,7.13,42485.485,1.1314021,-91957,3406
STZ,2023,9961800,25691700,271.76,182820.069,.19945526,3169700,11879300
SUPN,2023,607521,1277673,28.94,54632.847,-.20908523,-5269,33196
SVT,2023,43629,36587,12.5,2496.211,.1686554,-2113,2200
SWBI,2023,479242,541294,13.04,46082.706,.030584812,48407,61751
SWIM,2023,566492,835003,2.63,114755.945,-.20239753,16129,333121
SWK,2023,15781100,23663800,98.09999999999989,153311.412,.30418873,-3200,7176900
SWKS,2023,4772400,8426700,98.59,159392.574,.16998005,1125000,1481000
SWTX,2023,5447,725788,36.5,62578.877,.33883119,-343013,7057
SXC,2023,2063200,1660400,10.74,83756.217,.26058459,125100,490300
SXI,2023,741048,1024929,141.47,11902.676,.52200174,171089,199215
SXT,2023,1456450,2014507,66,42249.509,-.07518816,155023,658545
SXTP,2023,253.573,7783.771,1.02,5799.535,,-5154.583,13.65
SYK,2023,20498000,39912000,299.46,379894.65,.21349525,3888000,12995000
SYNA,2023,1355100,2611400,85.38,39523.948,-.32399607,154300,978000
SYPR,2023,136223,129342,2.03,22454.649,-.0089256167,969,15824
TACT,2023,72631,54198,6.98,9958.118,.09932971,5706,3899
TAP,2023,11702100,26375100,61.21,203556.028,.2001164,1438200,6223900
TARS,2023,17447,265491,20.25,33104.612,.32303214,-143158,29819
TAYD,2023,40199.354,57881.179,25.56,3509.152,1.0788555,6809.0659,0
TCMD,2023,274423,281438,14.3,23497.557,.21965313,18041,50375
TCON,2023,12045,10105,.1751,31144.335,-2.1411741,-9273,0
TCRX,2023,21049,272149,5.83,47824.68,1.3247621,-93458,92433
TDG,2023,6585000,19970000,843.13,55183.16,.47406626,2923000,19750000
TDY,2023,5635500,14527900,446.29,47184.697,.10972929,1034400,3244900
TECH,2023,1136702,2638692,81.63,157436.548,-.055885792,298944,454965
TELA,2023,58453,78048,6.62,24488.803,-.5522517,-44075,40515
TER,2023,2676298,3486824,108.52,152878.728,.22136736,501068,82614
TEX,2023,5151500,3615500,57.46,67300,.30820656,636500,623200
TFX,2023,2974489,7532546,249.34,46992.664,.0064177513,506313,1931955
TG,2023,702678,446461,5.41,34408.638,-.60091043,-143256,159371
TGI,2023,1192043,1686270,15.04,76866.07399999991,.26057076,86454,1078199
TGTX,2023,233662,329587,17.08,151410.073,.36726952,20633,110795
THO,2023,11121605,7260830,95.13,53314.31,.32894659,585491,1352112
THR,2023,494629,767740,32.72,33714.736,.27231598,75371,187490
THRM,2023,1469076,1234371,52.36,32796.297,-.22069573,77439,246713
THS,2023,3431600,4106600,41.45,55300,-.17505765,146900,1561400
TILE,2023,1261498,1230095,12.62,58106.975,.25046659,104522,507829
TKNO,2023,36684,128587,3.73,40727.78,-.41347575,-35563,30458
TKR,2023,4769000,6541700,80.15000000000001,70551.394,.14288759,657100,2474600
TMCI,2023,187118,251907,12.75,61675.861,-.58952808,-51428,73331
TMDX,2023,241623,706047,78.93000000000001,32647.698,.24595308,-28727,515946
TMO,2023,42857000,98726000,530.79,386372.321,-.034132957,6859000,34917000
TMST,2023,1362400,1175300,23.45,43154.816,.25509858,104400,24600
TNC,2023,1243600,1113400,92.69,18680.218,.42279148,138600,228000
TNDM,2023,747718,952658,29.58,65209.703,-.41845226,-233230,415667
TPR,2023,6660900,7116800,42.8,231797.8,.36902404,1172400,3292000
TPX,2023,4925400,4553900,50.97,172274.333,.40598226,584200,3266300
TR,2023,769365,1084391,33.24,69624.232,-.23736691,101828,15895
TRDA,2023,129013,469192,15.09,33368.078,.10986209,-3162,68230
TREX,2023,1094837,932885,82.79000000000001,108595.381,.67081141,276204,24340
TRMB,2023,3798700,9539300,53.2,248767.565,.050897598,448800,3188500
TRN,2023,2983300,8906500,26.59,81871.493,-.064414978,417000,5754200
TRNS,2023,259481,287552,111.43,8829.127,.22038794,19781,19029
TRS,2023,893550,1341660,25.33,41414.42,-.084794044,65440,443250
TRT,2023,43250,42186,4.81,4096.68,.10512948,2228,4110
TSBX,2023,19306,112815,2.545,23093.075,,-59032,3214
TSHA,2023,15451,172731,1.77,186960.193,-.2443853,-72439,59461
TSLA,2023,96773000,106618000,248.48,3178921.391,.70171547,8891000,5230000
TSLX,2023,438087,3343808,21.6,87546.49800000001,.30222869,197593,1780307
TSN,2023,52881000,36251000,50.49,355560.341,-.23351741,-395000,9506000
TTC,2023,4553200,3644300,95.9899999999999,103874.211,-.15042257,430700,1174700
TTMI,2023,2232567,3323663,15.81,102244.622,.047273397,42316,998622
TTNP,2023,184,8086,.4125,15016.295,-.64102411,-7277,65
TVTX,2023,145238,788913,8.99,75145.83100000001,-.84983706,-388138,404784
TWI,2023,1821800,1289245,14.88,61889.778,-.029141188,148727,426091
TWIN,2023,276960,289181,11.26,13815.707,.21738744,16060,29438
TWST,2023,245109,776403,20.26,57396.131,-.55353332,-217159,94069
TXG,2023,618727,965143,55.96,118208.601,.4289701,-265329,95370
TXMD,2023,1302,43309,2.25,10575.24,-.91004914,-8523,0
TXN,2023,17519000,32348000,170.46,908204.093,.062119961,7331000,11223000
TXT,2023,13683000,16856000,80.42,196005.457,.12850046,1053000,3526000
UAA,2023,5701879,4760734,7.38,435281.111,-.25146496,229751,1442788
UAMY,2023,8693.155000000001,28094.995,.249,107647.317,-.6706059,-7069.001,28.443001
UCTT,2023,1734500,1867700,34.14,44830.779,.029427052,35200,639900
UEIC,2023,420457,355872,9.390000000000001,12952.143,-.79578829,-85301,67560
UFI,2023,623527,538819,8.07,18056.208,-.55518031,-40871,148569
UFPI,2023,7218384,4017797,125.55,61812.538,.47167826,646534,384296
UFPT,2023,400072,404136,172.04,7638.812,.37797499,57664,46037
UG,2023,10885.154,12922.838,7.2,4594.319,-.35977089,2863.032,0
UI,2023,1940512,1406399,175.75,60441.733,-.33557081,544566,1123941
ULBI,2023,158644,178276,6.82,16340.113,.56919229,9475,25624
USAP,2023,285943,356690,20.08,9088.245000000001,1.0298188,13756,85579
USNA,2023,921010,632757,53.6,19129.806,.0074906349,93071,786
UTHR,2023,2327500,7167000,219.89,46993.601,-.2348175,1184900,700000
UTMD,2023,50224,135458,84.22,3629.525,-.16372347,16777,295
VATE,2023,1423000,1043600,1.23,79234.99099999991,-.41892433,26500,709800
VC,2023,3954000,2727000,124.9,27811.203,-.046385765,280000,445000
VCEL,2023,197516,353657,35.61,47724.543,.30153799,-6464,88043
VECO,2023,666435,1229041,31.03,56341.738,.51286864,69940,306470
VEEE,2023,33425.912,39846.713,1.42,9520,-.25365913,-11987.299,4278.3652
VERV,2023,11758,752688,13.94,63752.748,-.32793021,-223124,74907
VFC,2023,10454667,11612963,15.34,388815.956,-.35936999,-34062,7123801
VGR,2023,1424268,934095,11.28,155933.02,.01897788,328035,1383702
VHI,2023,1977100,2737000,15.19,28288.493,-.34852886,8800,546500
VIAV,2023,1106100,1850500,11.33,222449.401,-.15503287,82400,725700
VICR,2023,405059,594887,44.94,44450.28,-.1790154,51358,8228
VIR,2023,86180,1919060,10.06,134521.285,-.92263246,-684305,111673
VIRC,2023,269117,146445,10.93,16347.314,1.0190995,30869,11957
VISL,2023,27482,44992,3.88,2387.596,-1.0600786,-10598,1218
VITL,2023,471857,275178,15.69,41602.263,.050321102,33254,22564
VLO,2023,144766000,63056000,130,340452.942,.056969643,11858000,11524000
VMI,2023,4174598,3477448,233.51,20890.609,-.33894682,291557,1274552
VNDA,2023,192640,648440,4.22,57531.999,-.56029272,-13952,7006
VNT,2023,3095200,4294000,34.55,154327.695,.58409905,543400,2346700
VPG,2023,355048,471566,34.07,13533.183,-.12612939,41954,58485
VRA,2023,470786,380786,6.8,30789.436,.12683117,10442,81004
VRCA,2023,5124,81597,7.32,42064.553,.97900939,-65759,45510
VREX,2023,893400,1249600,18.79,40400,-.1178422,77100,469500
VRT,2023,6863200,7998500,48.03,381441.5,1.2579079,872200,3083500
VRTX,2023,9869200,22730200,406.89,257683.184,.34287786,3832000,724700
VSAT,2023,4283758,16329364,18.09,125320.499,-.62628436,-889806,7566933
VSH,2023,3402045,4239923,23.97,144730.764,.12188959,486144,947503
VSTO,2023,2746063,2402380,32.78,58146.933,.16802526,50453,822937
VTGN,2023,1064,123653,5.28,27025.209,.34457314,-33021,2120
VTNR,2023,3177187,854624,3.39,93514.34600000001,-.60371935,-28613,491537
VTRS,2023,15426900,47685500,10.83,1199671,.020361662,766200,18131500
VUZI,2023,12129.139,86147.681,2.085,63327.608,-.55721486,-52301.539,301.185
VVOS,2023,13801,10730,12.44,1197.258,.21334457,-17296,1995
